Era,Validator,EraPoints,TotalStake,OwnStake,NominatedStake,NomCount,PageCount,CommissionRate,Blocked,CommissionEarned,OwnReward,TotalReward
24,5F563Y1REBhY2nCEPAvzySZuKarUUH7uq6UG6reE1dJwBKXQ,420,102807.06914748125752452,102807.06914748125752452,0E-17,0,0,0.05,False,67.7683038011830621911225809128,1287.59777222247810639339781748,1355.36607602366116858452039839
24,5EnzHF5SXRjxbwkequb92nuQxuYNktbLKvvGdPK4ZGuFpASg,700,102643.4475464573981238,102643.4475464573981238,0E-16,0,0,0.01,False,22.5894346003943532799790767641,2236.35402543904092769422158723,2258.94346003943528097420066399
24,5GzePyU3nHcuWoL7LoWosnKmEHuG58BMyWrokQJsX5yN56sQ,760,102577.3618866558381093,102577.3618866558381093,0E-16,0,0,0.05,False,122.628359259283643218659535270,2329.93882592638908500970324846,2452.56718518567272822836278373
24,5D4mncFhjdNDCQimnGnV73dFWWuoGGerpFwHF8j4VinMRVs8,900,102548.8374895062615144,102548.8374895062615144,0E-16,0,0,0.01,False,29.0435587719355984488225478963,2875.31231842162418597438036862,2904.35587719355978442320291652
24,5DfGLfnvyjUSRV98vA6yX5yrMYtwghdhWy1Aie4KvFiHNPiP,520,102512.27622708202308972,102512.27622708202308972,0E-17,0,0,0.1,False,167.807228460072351346074589211,1510.26505614065106896294693545,1678.07228460072342030902152466
24,5EPLmyJNNC3pJPexXaejEgZRHfXgzJFnAkPoT7j4iAnftskz,860,102501.02338802732207592,102501.02338802732207592,0E-17,0,0,0.02,False,55.5054678752547007544969362192,2719.76792588748027919836697377,2775.27339376273497995286390999
24,5EnfMazxpQJzpqJ91Pwss6zibJ1Zae1ujY5oYSR2RuVjpLzB,920,102114.76254520665417468,102114.76254520665417468,0E-17,0,0,0.05,False,148.444855945448629600696149377,2820.45226296352379760632988035,2968.89711890897242720702602973
24,5EykgS719SnRW1xPnUswwwVsGpoW3K7snDBM6acRyK628Hc5,580,101533.42011083166887478,101533.42011083166887478,0E-17,0,0,0.03,False,56.1508802924088239488955042119,1815.54512945455204361428814019,1871.69600974696086756318364440
24,5EFTSpRN2nMZDLjkniBYdmMxquMNm5CLVsrX2V3HHue6QFFF,920,100214.45263664410154394,100033.0228248951289698,181.42981174897257414,1,1,0.05,False,148.444855945448629600696149377,2815.34607209331268758352522535,2963.79092803876131718422137473
24,5CQ2uKse6WeTvtyzzmLfwgCoBmqHpUCe1pTqvbYU3zi11tpo,660,100214.39686490623346418,100000.02281736541454508,214.37404754081891910,1,1,0.03,False,63.8958292982583119304951542423,2061.54572929694816013966764522,2125.44155859520647207016279946
24,5GzpMhmk7o4WfJzmm5DxGTmiioTScQbeUdC2Que5ZfnH511g,840,100214.3897448454136232,100008.89645007440548236,205.49329477100814084,1,1,0.01,False,27.1073215204732239359748921168,2678.12195903545617584865576960,2705.22928055592939978463066172
24,5FeZ9qQcknWLexEuo3nXXERcXNzmxQDgF4kG5e2foDCXvXwz,800,100214.38160588121154338,100000.02281736541454508,214.35878851579699830,1,1,0.05,False,129.082483430824883800452348547,2447.32113843923295400371789434,2576.40362187005783780417024289
24,5E7RvG9HW1jdYRYXTUKnMNC1wpip5M4gb4x5L33JJWkgwpCj,600,100214.36710980689727276,100030.02282421026364746,184.34428559663362530,1,1,0.1,False,193.623725146237337728111203318,1739.40798947701396731577118993,1933.03171462325130504388239325
24,5DaECXdWXHxwnRurRE9PisuXt8mu2QE1k3AxMVeToYpS41mi,760,100100.02284018284626002,100100.02284018284626002,0E-17,0,0,0.0,False,0E-26,2452.56718518567272822836278373,2452.56718518567272822836278373
24,5G6Zhgm59oujA5UW8wMu4XHFP59uenjC2xp1zshyrWVa638J,840,100039.89292705475036364,100039.89292705475036364,0E-17,0,0,0.1,False,271.073215204732248764490323651,2439.65893684259008840455047313,2710.73215204732233716904079678
24,5DqMavSQikX9eMzwHKiC8xS6VWB2yCd5gGQuQq7KheM2Mgc7,740,100039.02282526383234036,100039.02282526383234036,0E-17,0,0,0.05,False,119.401297173513010900330448133,2268.62464629674707454420922239,2388.02594347026008544453967052
24,5CZkrGJv2pwQq5ZMqBxEMXyx6M8cfrDAudoLquSdwu83GM5d,660,100032.02282466684052902,100032.02282466684052902,0E-17,0,0,0.06,False,127.791658596516623860990308485,2002.06931801209385264287134898,2129.86097660861047650386165746
24,5FxvyuiNaV9YzjmENcFtUw9YNGnUnYfTyGmSTCnBLjRYmxYP,760,100030.02282421026364746,100030.02282421026364746,0E-17,0,0,0.07,False,171.679702962997107313364745461,2280.88748222267562091499803827,2452.56718518567272822836278373
24,5CaFHu8xYG6VgAaHcJvyw9kVS2bp5MzduxYysQuMyo28pR5R,720,100030.02282421026364746,100030.02282421026364746,0E-17,0,0,0.05,False,116.174235087742402636866721991,2207.31046666710552112115705521,2323.48470175484792375802377720
24,5FphMk7DhSdq7jXsQCVQthw7XTiCWxdA9ZS6V43rKeJzvya9,960,100020.02282192846613138,100020.02282192846613138,0E-17,0,0,0.05,False,154.898980116989870182488962655,2943.08062222280736149487607360,3097.97960233979723167736503626
24,5HTkThSZvwNZW2mQ8BSU6hvyuJ1VUs9qfmwc8MssCBXJLPyQ,700,100020.02282192846613138,100020.02282192846613138,0E-17,0,0,0.05,False,112.947173001971770318537634855,2145.99628703746351065566302914,2258.94346003943528097420066400
24,5Cfkqakueovvv64QSR3b4GX3JMbzdXLbDQgmLBWWmEb9JkzN,760,100020.02282192846613138,100020.02282192846613138,0E-17,0,0,0.11,False,269.782390370424001466568185427,2182.78479481524872676179459830,2452.56718518567272822836278373
24,5DvoL2BNoSm7wRt2tfZ6WW5QFrxm68GLv5SCrPQ4JBLjbvpL,820,100020.02282192846613138,100020.02282192846613138,0E-17,0,0,0.05,False,132.309545516595516118781435684,2513.88136481531465936374346778,2646.19091033191017548252490346
24,5H9MkZcakkxRbtPzq33iKfzrJPQir4rL96yDM1nCq9A4jTPr,660,100016.02282101585581412,100016.02282101585581412,0E-17,0,0,0.01,False,21.2986097660861052084049969774,2108.56236684252437129545666048,2129.86097660861047650386165746
24,5EkiKnePhH8cUVtJEBwEBz2kPrkCbBLw9kHJrQYj77efNk7K,700,100010.02281964721206116,100010.02281964721206116,0E-17,0,0,0.1,False,225.894346003943540637075269710,2033.04911403549174033712539428,2258.94346003943528097420066399
24,5HeG34ZnpqcYCRbVZcesUwoM8Z4UCQrKJHiWHf7vQ86KmD1A,880,100010.0228186467282329,100010.0228186467282329,0E-16,0,0,0.01,False,28.3981463547814768185220441024,2811.41648912336614591816497910,2839.81463547814762273668702320
24,5CFsdp5wbk4C7htRvNq8VgmUxHLnYUnf2DaWoSPyTuApRqtQ,760,100009.02281941892362038,100009.02281941892362038,0E-17,0,0,0.01,False,24.5256718518567277928267325435,2428.04151333381600043553605119,2452.56718518567272822836278373
24,5DjrTRayrs2s5RCQk4PzEgj49j72tBUk4R9dEaJw83MWh9vn,780,100005.02281850631330312,100005.02281850631330312,0E-17,0,0,0.05,False,125.855421345054275536988622405,2391.25300555603109547519727452,2517.10842690108537101218589692
24,5EEdYc6osxHxqnYtpzTuLoYdGwUiQFoYENuk3eKizRsq9K1P,500,100004.02281827802486234,100004.02281827802486234,0E-17,0,0,0.03,False,48.4059312865593287508362458833,1565.12511159875168932301577552,1613.53104288531101807385202140
